added_on,amount_left,auto_tmm,availability,category,completed,completion_on,content_path,dl_limit,dlspeed,downloaded,downloaded_session,eta,f_l_piece_prio,force_start,hash,last_activity,magnet_uri,max_ratio,max_seeding_time,name,num_complete,num_incomplete,num_leechs,num_seeds,priority,progress,ratio,ratio_limit,save_path,seeding_time_limit,seen_complete,seq_dl,size,state,super_seeding,tags,time_active,total_size,tracker,up_limit,uploaded,uploaded_session,upspeed
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140946,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140948,,,,,,
,,,1.2120000123977661,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,1,,,,,,,,,,,,,,140951,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140954,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,1,,,,,,,,,,,,,,140957,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140958,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140964,,,,,,
,,,1.409999966621399,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,2,,,,,,,,,,,,,,140966,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140969,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140970,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140976,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140978,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,3,,,,,,,,,,,,,,140981,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140982,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,2,,,,,,,,,,,,,,140985,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140988,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140990,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140993,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140994,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,140997,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141001,,,,,,
,,,0.8930000066757202,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141028,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141029,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145494,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141035,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145496,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141037,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145499,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141040,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145500,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141041,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141044,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141047,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141049,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141052,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141053,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141056,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141059,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141064,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,2,,,,,,,,,,,,,,141071,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141076,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141082,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141083,,,,,,
1616459449,276445467,true,0,,0,"1/1/1970, 12:00:00 AM",/root/Downloads/Big Buck Bunny,-1,0,0,0,8640000,false,false,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,"12/31/1969, 5:00:00 PM",magnet:?xt=urn:btih:dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c&dn=Big%20Buck%20Bunny&tr=udp%3a%2f%2ftracker.leechers-paradise.org%3a6969&tr=udp%3a%2f%2ftracker.coppersurfer.tk%3a6969&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337&tr=udp%3a%2f%2fexplodie.org%3a6969&tr=udp%3a%2f%2ftracker.empire-js.us%3a1337&tr=wss%3a%2f%2ftracker.btorrent.xyz&tr=wss%3a%2f%2ftracker.openwebtorrent.com&tr=wss%3a%2f%2ftracker.fastcast.nz&ws=https%3a%2f%2fwebtorrent.io%2ftorrents%2f,-1,-1,Big Buck Bunny,0,0,0,0,1,0,0,-2,/root/Downloads/,-2,25200,false,276445467,checkingResumeData,false,,0,276445467,,-1,0,0,0
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141086,,,,,,
,275593499,,4.001999855041504,,851968,,,,,,873411,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,27,2,2,4,,0,,,,,,,,,,,1,,udp://explodie.org:6969,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141089,,,,,,
,272021787,,8.012999534606934,,4423680,,,,681379,4103162,4484356,1430,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,31,3,0,8,,0,,,,,1616459453,,,,,,4,,udp://tracker.opentrackr.org:1337,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141092,,,,,,
,259782939,,11.053000450134277,,16662528,,,,1720436,11849726,16759034,515,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,0,11,,0,,,,,1616459456,,,,,,7,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141094,,,,,,
,250755355,,11.083000183105469,,25690112,,,,3348875,24364425,25783435,305,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,7,,,0,,,,,1616459458,,,,,,9,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141098,,,,,,
,239974683,,12.12399959564209,,36470784,,,,2856117,34686035,36576647,174,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,13,,,0,,,,,1616459462,,,,,,13,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141100,,,,,,
,233584923,,12.14799976348877,,42860544,,,,3159297,41832141,42968878,154,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459464,,,,,,15,,,,,,
,217970971,,12.204999923706055,,58474496,,,,4110900,57248883,58573013,119,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459467,,,,,,18,,,,,,
,205142299,,12.253000259399414,,71303168,,,,4360483,70698401,71409513,97,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,1,,,0,,,,,1616459470,,,,,,21,,,,,,
,190249243,,12.305000305175781,,86196224,,,,4009543,85325029,86304751,79,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459474,,,,,,25,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141113,,,,,,
,185956635,,11.321999549865723,,90488832,,,,2570655,88714257,90605124,76,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459477,,,,,,28,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141116,,,,,,
,177207579,,11.354000091552734,,99237888,,,,2705279,97049997,99360936,72,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,"3/22/2021, 6:31:21 PM",,,,,,,,,,0,,,,,1616459480,,,,,,31,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141118,,,,,,
,171260187,,11.37600040435791,,105185280,,,,3149558,104869649,105309624,69,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459482,,,,,,33,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141122,,,,,,
,155023643,,11.434000015258789,,121421824,,,,3366455,119235884,121525651,60,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459486,,,,,,37,,,,,,
,148355355,,11.458000183105469,,128090112,,,,3611522,127277128,128205253,56,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459488,,,,,,39,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145586,,,,,,
,135903515,,11.501999855041504,,140541952,,,,3914084,139681495,140644764,49,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459492,,,,,,42,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145587,,,,,,
,132659483,,11.515000343322754,,143785984,,,,3774720,142898764,143854458,45,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,,,,,,,43,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145590,,,,,,
,123599131,,11.54699993133545,,152846336,,,,2992141,149046654,152925694,39,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,"3/22/2021, 6:31:36 PM",,,,,,,,,,0,,,,,1616459496,,,,,,46,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145593,,,,,,
,107200512,,11.607000350952148,,169244955,,,,4322861,166218725,169353370,32,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459499,,,,,,49,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145599,,,,,,
,91176960,,11.663999557495117,,185268507,,,,2985066,183254017,185367232,26,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459505,,,,,,55,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145601,,,,,,
,87851008,,11.677999496459961,,188594459,,,,2793437,188200244,188694435,25,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459507,,,,,,57,,,,,,
,71974912,,11.732999801635742,,204470555,,,,3077845,202034184,204575739,20,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,"3/22/2021, 6:31:51 PM",,,,,,,,,,0,,,,,1616459511,,,,,,61,,,,,,
,64192512,,11.76200008392334,,212252955,,,,3667411,211412962,212364392,18,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459513,,,,,,63,,,,,,
,,,0.8930000066757202,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141151,,,,,,
,50003968,,11.814000129699707,,226441499,,,,4261877,225999928,226557234,14,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,1,,,0,,,,,1616459516,,,,,,66,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141152,,,,,,
,47120384,,12.822999954223633,,229325083,,,,4053237,229218608,229430955,13,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,0,12,,0,,,,,,,,,,,67,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,1,,,,,,,,,,,,,,141158,,,,,,
,26918912,,12.89799976348877,,249526555,,,,3270159,245050756,249638475,7,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,1,,,0,,,,,1616459523,,,,,,73,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141163,,,,,,
,7225344,,12.970000267028809,,269220123,,,,3973867,268669349,269317635,2,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459528,,,,,,78,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141166,,,,,,
,2605056,,12.982000350952148,,273840411,,,,2843776,273928321,274207267,0,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,13,,,0,,,,,1616459531,,,,,,81,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141169,,,,,,
,262144,,12.996000289916992,,276183323,,,,1980014,277124523,277264989,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,0,,,,,1616459534,,,,,,84,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141170,,,,,,
,,,-1,,,,,,1710964,277759292,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,85,,udp://explodie.org:6969,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141173,,,,,,
,,,,,,,,,876012,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,33,,,,,,,,,,,,,,,,88,,udp://tracker.opentrackr.org:1337,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141176,,,,,,
,,,,,,,,,448517,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,91,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141178,,,,,,
,,,,,,,,,287050,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,12,,,,,,,,,,,,,,93,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141181,,,,,,
,,,,,,,,,146969,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,12,,,,,,,,,,,,,,96,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141182,,,,,,
,,,,,,,,,117575,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,97,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141185,,,,,,
,,,,,,,,,60198,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145647,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141188,,,,,,
,,,,,,,,,30820,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,1,,,,,,,,,,,,,,103,,,,,,
,,,,,,,,,,,,,,,a88fda5954e89178c372716a6a78b8180ed4dad3,,,,,,,,,,,,,,,,,,,,,,145652,,,,,,
,,,1.409999966621399,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,2,,,,,,,,,,,,,,141193,,,,,,
,,,,,,,,,10098,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,108,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141194,,,,,,
,,,,,,,,,8078,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,109,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141197,,,,,,
,,,,,,,,,4135,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,112,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141200,,,,,,
,,,,,,,,,2116,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,115,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141205,,,,,,
,,,,,,,,,692,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,120,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141209,,,,,,
,,,,,,,,,282,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,124,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141212,,,,,,
,,,,,,,,,144,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,127,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141217,,,,,,
,,,,,,,,,46,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,132,,,,,,
,,,,,,,,,36,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,133,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141221,,,,,,
,,,,,,,,,17,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,136,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141223,,,,,,
,,,,,,,,,10,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,138,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141229,,,,,,
,,,,,,,,,1,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,144,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141230,,,,,,
,,,,,,,,,0,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,145,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,148,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,153,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,3,,,,,,,,,,,,,,141241,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,2,,,,,,,,,,,,,,156,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,2,,,,,,,,,,,,,,141242,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,157,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141245,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,160,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141247,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,6,,,,,,,,,,,,,,162,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141250,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,13,,,,,,,,,,,,,,165,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141251,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,12,,,,,,,,,,,,,,166,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141257,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,7,,,,,,,,,,,,,,172,,,,,,
,,,,,,,,,,,,,,,cbf05b8b044214b22f617fefe4ba01e80022d575,,,,,,,,,,,,,,,,,,,,,,141259,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,1,,,,,,,,,,,,,,174,,,,,,
,,,,,,,,,,,,,,,dd8255ecdc7ca55fb0bbf81323d87062db1f6d1c,,,,,,,,,,,,,,,,,,,,,,177,,,,,,